,date,author,issues,title,organization,link
21,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
22,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
23,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
24,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
25,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
26,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
27,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
28,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
29,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
30,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
31,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
32,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
33,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
34,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
35,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
36,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
37,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
38,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
39,2025-12-01,['Ivana Stradner '],"['Russia', 'Ukraine']",WITKOFF TRAVELS TO MOSCOW FOR MEETING WITH PUTIN,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
40,2025-11-30,['Bill Roggio '],"['Arab Politics , ']",U.S. SANCTIONS ON MUSLIM BROTHERHOOD WILL PROVE GLOBALLY INSTRUMENTAL,ASHARQ NEWS {ARABIC},https://www.fdd.org/in_the_news/2025/11/30/d-c-national-guard-shooting-suspect-identified-as-afghan-national/
41,2025-11-25,['Ivana Stradner '],"['Russia', 'Ukraine']",REVISED UKRAINE PEACE PLAN: A DOCUMENT WITH POTENTIAL – OR DEAD-ON-ARRIVAL IN RUSSIA?,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/11/25/revised-ukraine-peace-plan-a-document-with-potential-or-dead-on-arrival-in-russia/
42,2025-11-25,['Jonathan Schanzer '],"['Israel', 'Lebanon', 'Turkey']","ESCALATING CONFLICT: HEZBOLLAH STRIKE, TURKISH INFLUENCE, AND FRAGILE CEASEFIRES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/25/escalating-conflict-hezbollah-strike-turkish-influence-and-fragile-ceasefires/
43,2025-11-24,['Edmund Fitton-Brown'],[],HOUTHI REGIME SENTENCES 18 TO DEATH OVER SPYING ALLEGATIONS,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/houthi-regime-sentences-18-to-death-over-spying-allegations/
44,2025-11-24,['Hussain Abdul-Hussain '],['Lebanon'],LEBANON’S ATTEMPTS TO DISARM HEZBOLLAH HAVE BEEN MINIMAL,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/lebanons-attempts-to-disarm-hezbollah-have-been-minimal/
45,2025-11-25,['Hussain Abdul-Hussain '],"['Arab Politics', 'Sanctions and Illicit Finance']",U.S. SANCTIONS ON MUSLIM BROTHERHOOD WILL PROVE GLOBALLY INSTRUMENTAL,ASHARQ NEWS {ARABIC},https://www.fdd.org/in_the_news/2025/11/25/u-s-sanctions-on-muslim-brotherhood-will-prove-globally-instrumental/
46,2025-11-25,['Ivana Stradner '],"['Russia', 'Ukraine']",REVISED UKRAINE PEACE PLAN: A DOCUMENT WITH POTENTIAL – OR DEAD-ON-ARRIVAL IN RUSSIA?,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/11/25/revised-ukraine-peace-plan-a-document-with-potential-or-dead-on-arrival-in-russia/
47,2025-11-25,['Jonathan Schanzer '],"['Israel', 'Lebanon', 'Turkey']","ESCALATING CONFLICT: HEZBOLLAH STRIKE, TURKISH INFLUENCE, AND FRAGILE CEASEFIRES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/25/escalating-conflict-hezbollah-strike-turkish-influence-and-fragile-ceasefires/
48,2025-11-24,['Edmund Fitton-Brown'],[],HOUTHI REGIME SENTENCES 18 TO DEATH OVER SPYING ALLEGATIONS,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/houthi-regime-sentences-18-to-death-over-spying-allegations/
49,2025-11-24,['Hussain Abdul-Hussain '],['Lebanon'],LEBANON’S ATTEMPTS TO DISARM HEZBOLLAH HAVE BEEN MINIMAL,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/lebanons-attempts-to-disarm-hezbollah-have-been-minimal/
50,2025-11-25,['Hussain Abdul-Hussain '],"['Arab Politics', 'Sanctions and Illicit Finance']",U.S. SANCTIONS ON MUSLIM BROTHERHOOD WILL PROVE GLOBALLY INSTRUMENTAL,ASHARQ NEWS {ARABIC},https://www.fdd.org/in_the_news/2025/11/25/u-s-sanctions-on-muslim-brotherhood-will-prove-globally-instrumental/
51,2025-11-25,['Ivana Stradner '],"['Russia', 'Ukraine']",REVISED UKRAINE PEACE PLAN: A DOCUMENT WITH POTENTIAL – OR DEAD-ON-ARRIVAL IN RUSSIA?,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/11/25/revised-ukraine-peace-plan-a-document-with-potential-or-dead-on-arrival-in-russia/
52,2025-11-25,['Jonathan Schanzer '],"['Israel', 'Lebanon', 'Turkey']","ESCALATING CONFLICT: HEZBOLLAH STRIKE, TURKISH INFLUENCE, AND FRAGILE CEASEFIRES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/25/escalating-conflict-hezbollah-strike-turkish-influence-and-fragile-ceasefires/
53,2025-11-24,['Edmund Fitton-Brown'],[],HOUTHI REGIME SENTENCES 18 TO DEATH OVER SPYING ALLEGATIONS,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/houthi-regime-sentences-18-to-death-over-spying-allegations/
54,2025-11-24,['Hussain Abdul-Hussain '],['Lebanon'],LEBANON’S ATTEMPTS TO DISARM HEZBOLLAH HAVE BEEN MINIMAL,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/lebanons-attempts-to-disarm-hezbollah-have-been-minimal/
55,2025-11-25,['Hussain Abdul-Hussain '],"['Arab Politics', 'Sanctions and Illicit Finance']","UKRAINE PEACE PLANS, CONCESSIONS, AND THE IMPACT ON U.S. ALLIANCES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/25/u-s-sanctions-on-muslim-brotherhood-will-prove-globally-instrumental/
56,2025-11-24,['Hussain Abdul-Hussain '],['Arab Politics'],MUSLIM BROTHERHOOD DECLARED A TERRORIST ORGANIZATION,SKY NEWS ARABIA {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/muslim-brotherhood-declared-a-terrorist-organization/
57,2025-11-24,['Clifford D. May '],"['Energy', 'Military and Political Power', 'Russia', 'Ukraine']","U.S., UKRAINE WORK ON REFINED PEACE PLAN",FOX BUSINESS,https://www.fdd.org/in_the_news/2025/11/24/u-s-ukraine-work-on-refined-peace-plan/
58,2025-11-24,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],DETERRENCE AT THE EDGE: INNOVATION AND ACQUISITION ON THE EASTERN FLANK DETERRENCE LINE,MISSILE DEFENSE ADVOCACY ALLIANCE,https://www.fdd.org/in_the_news/2025/11/24/deterrence-at-the-edge-innovation-and-acquisition-on-the-eastern-flank-deterrence-line/
59,2025-11-24,['Reuel Marc Gerecht '],['Iran'],EX-CIA AGENT SAYS WEAKENED ISLAMIC REPUBLIC WON’T GO DOWN WITHOUT A FIGHT,IRAN INTERNATIONAL,https://www.fdd.org/in_the_news/2025/11/24/ex-cia-agent-says-weakened-islamic-republic-wont-go-down-without-a-fight/
60,2025-11-24,['Bill Roggio '],"['Russia', 'Ukraine']","UKRAINE PEACE PLANS, CONCESSIONS, AND THE IMPACT ON U.S. ALLIANCES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/ukraine-peace-plans-concessions-and-the-impact-on-u-s-alliances/
61,2025-11-24,['Hussain Abdul-Hussain '],['Arab Politics'],MUSLIM BROTHERHOOD DECLARED A TERRORIST ORGANIZATION,SKY NEWS ARABIA {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/muslim-brotherhood-declared-a-terrorist-organization/
62,2025-11-24,['Clifford D. May '],"['Energy', 'Military and Political Power', 'Russia', 'Ukraine']","U.S., UKRAINE WORK ON REFINED PEACE PLAN",FOX BUSINESS,https://www.fdd.org/in_the_news/2025/11/24/u-s-ukraine-work-on-refined-peace-plan/
63,2025-11-24,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],DETERRENCE AT THE EDGE: INNOVATION AND ACQUISITION ON THE EASTERN FLANK DETERRENCE LINE,MISSILE DEFENSE ADVOCACY ALLIANCE,https://www.fdd.org/in_the_news/2025/11/24/deterrence-at-the-edge-innovation-and-acquisition-on-the-eastern-flank-deterrence-line/
64,2025-11-24,['Reuel Marc Gerecht '],['Iran'],EX-CIA AGENT SAYS WEAKENED ISLAMIC REPUBLIC WON’T GO DOWN WITHOUT A FIGHT,IRAN INTERNATIONAL,https://www.fdd.org/in_the_news/2025/11/24/ex-cia-agent-says-weakened-islamic-republic-wont-go-down-without-a-fight/
65,2025-11-24,['Bill Roggio '],"['Russia', 'Ukraine']","UKRAINE PEACE PLANS, CONCESSIONS, AND THE IMPACT ON U.S. ALLIANCES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/ukraine-peace-plans-concessions-and-the-impact-on-u-s-alliances/
66,2025-11-24,['Hussain Abdul-Hussain '],['Arab Politics'],MUSLIM BROTHERHOOD DECLARED A TERRORIST ORGANIZATION,SKY NEWS ARABIA {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/muslim-brotherhood-declared-a-terrorist-organization/
67,2025-11-24,['Clifford D. May '],"['Energy', 'Military and Political Power', 'Russia', 'Ukraine']","U.S., UKRAINE WORK ON REFINED PEACE PLAN",FOX BUSINESS,https://www.fdd.org/in_the_news/2025/11/24/u-s-ukraine-work-on-refined-peace-plan/
68,2025-11-24,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],DETERRENCE AT THE EDGE: INNOVATION AND ACQUISITION ON THE EASTERN FLANK DETERRENCE LINE,MISSILE DEFENSE ADVOCACY ALLIANCE,https://www.fdd.org/in_the_news/2025/11/24/deterrence-at-the-edge-innovation-and-acquisition-on-the-eastern-flank-deterrence-line/
69,2025-11-24,['Reuel Marc Gerecht '],['Iran'],EX-CIA AGENT SAYS WEAKENED ISLAMIC REPUBLIC WON’T GO DOWN WITHOUT A FIGHT,IRAN INTERNATIONAL,https://www.fdd.org/in_the_news/2025/11/24/ex-cia-agent-says-weakened-islamic-republic-wont-go-down-without-a-fight/
70,2025-11-24,['Bill Roggio '],"['Russia', 'Ukraine']","UKRAINE PEACE PLANS, CONCESSIONS, AND THE IMPACT ON U.S. ALLIANCES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/ukraine-peace-plans-concessions-and-the-impact-on-u-s-alliances/
71,2025-11-24,['Hussain Abdul-Hussain '],['Arab Politics'],MUSLIM BROTHERHOOD DECLARED A TERRORIST ORGANIZATION,SKY NEWS ARABIA {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/muslim-brotherhood-declared-a-terrorist-organization/
72,2025-11-24,['Clifford D. May '],"['Energy', 'Military and Political Power', 'Russia', 'Ukraine']","U.S., UKRAINE WORK ON REFINED PEACE PLAN",FOX BUSINESS,https://www.fdd.org/in_the_news/2025/11/24/u-s-ukraine-work-on-refined-peace-plan/
73,2025-11-24,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],DETERRENCE AT THE EDGE: INNOVATION AND ACQUISITION ON THE EASTERN FLANK DETERRENCE LINE,MISSILE DEFENSE ADVOCACY ALLIANCE,https://www.fdd.org/in_the_news/2025/11/24/deterrence-at-the-edge-innovation-and-acquisition-on-the-eastern-flank-deterrence-line/
