,date,author,issues,title,organization,link
21,2025-11-26,Peter Doran ,"['International Organizations', 'Military and Political Power', 'Russia', 'Ukraine']","A RUSSIA-UKRAINE PEACE PLAN, NARCOTERRORISM IN VENEZUELA, AND THE CORRUPT UNITED NATIONS",NEWSMAX2,https://www.fdd.org/in_the_news/2025/11/26/a-russia-ukraine-peace-plan-narcoterrorism-in-venezuela-and-the-corrupt-united-nations/
22,2025-11-26,Jonathan Schanzer ,['Israel'],CEASEFIRE STRAINED AND GAZA TUNNEL THREAT INTENSIFIES,ILTV,https://www.fdd.org/in_the_news/2025/11/26/ceasefire-strained-and-gaza-tunnel-threat-intensifies/
23,2025-11-25,John Hardie ,"['Russia', 'Ukraine']",UKRAINE AGREES TO U.S.-BROKERED PEACE DEAL,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/25/ukraine-agrees-to-u-s-brokered-peace-deal/
24,2025-11-25,RADM (Ret.) Mark Montgomery ,"['Russia', 'Ukraine']",WILL RUSSIA ACCEPT A PEACE DEAL WITH UKRAINE?,BBC NEWS,https://www.fdd.org/in_the_news/2025/11/25/will-russia-accept-a-peace-deal-with-ukraine/
25,2025-11-25,RADM (Ret.) Mark Montgomery ,"['Russia', 'Ukraine']",UKRAINE AGREES TO U.S.-BACKED PEACE PROPOSAL,NEWSNATION,https://www.fdd.org/in_the_news/2025/11/25/ukraine-agrees-to-u-s-backed-peace-proposal/
26,2025-11-25,RADM (Ret.) Mark Montgomery ,"['Russia', 'Ukraine']",UKRAINE PEACE DEAL MADE WITH RUSSIA,FOX LIVENOW,https://www.fdd.org/in_the_news/2025/11/25/ukraine-peace-deal-made-with-russia/
27,2025-11-25,Andrea Stricker ,"['Iran', 'Nonproliferation', 'Russia']",IRANIAN SCIENTISTS’ VISIT TO RUSSIA RAISES CONCERNS ABOUT REBUILDING NUCLEAR WEAPONS PROGRAM,JEWISH INSIDER,https://jewishinsider.com/2025/11/iranian-scientists-russia-nuclear-weapons-program-iaea/
28,2025-11-25,Craig Singleton ,"['China', 'Indo-Pacific']",TRUMP AVOIDS TOUCHING UPON TAIWAN ISSUE AFTER CALL WITH CHINA’S XI,NIKKEI ASIA,https://asia.nikkei.com/spotlight/trump-administration/trump-avoids-touching-upon-taiwan-issue-after-call-with-china-s-xi
29,2025-11-25,Craig Singleton ,"['China', 'Indo-Pacific']",XI PRESSES TRUMP ON TAIWAN AS THEY AGREE TO MEET IN CHINA IN APRIL,THE NEW YORK TIMES,https://www.nytimes.com/2025/11/24/business/economy/trump-xi-meeting-china.html
30,2025-11-25,Mariam Wahba ,['Jihadism'],TRUMP MOVES AGAINST MUSLIM BROTHERHOOD AS ISLAMIST GROUP SPREADS IN WEST,FOX NEWS,https://www.foxnews.com/world/trump-moves-against-muslim-brotherhood-islamist-group-spreads-west.amp
31,2025-11-25,John Hardie ,"['Military and Political Power', 'Russia']","TRUMP PUSHES PEACE IN EUROPE, PRESSURE IN THE AMERICAS — INSIDE THE TWO-FRONT GAMBLE",FOX NEWS,https://www.foxnews.com/politics/trump-pushes-peace-europe-pressure-americas-inside-two-front-gamble.amp
32,2025-11-25,Ivana Stradner ,"['Russia', 'Ukraine']","TRUMP SENDING ENVOYS TP RUSSIA, UKRAINE AFTER REVISING PEACE PLAN",SPECTRUM NEWS,https://www.fdd.org/in_the_news/2025/11/25/trump-sending-envoys-tp-russia-ukraine-after-revising-peace-plan/
33,2025-11-25,Hussain Abdul-Hussain ,"['Arab Politics', 'Sanctions and Illicit Finance']",U.S. SANCTIONS ON MUSLIM BROTHERHOOD WILL PROVE GLOBALLY INSTRUMENTAL,ASHARQ NEWS {ARABIC},https://www.fdd.org/in_the_news/2025/11/25/u-s-sanctions-on-muslim-brotherhood-will-prove-globally-instrumental/
34,2025-11-25,Ivana Stradner ,"['Russia', 'Ukraine']",REVISED UKRAINE PEACE PLAN: A DOCUMENT WITH POTENTIAL – OR DEAD-ON-ARRIVAL IN RUSSIA?,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/11/25/revised-ukraine-peace-plan-a-document-with-potential-or-dead-on-arrival-in-russia/
35,2025-11-25,Jonathan Schanzer ,"['Israel', 'Lebanon', 'Turkey']","ESCALATING CONFLICT: HEZBOLLAH STRIKE, TURKISH INFLUENCE, AND FRAGILE CEASEFIRES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/25/escalating-conflict-hezbollah-strike-turkish-influence-and-fragile-ceasefires/
36,2025-11-24,Edmund Fitton-Brown,[],HOUTHI REGIME SENTENCES 18 TO DEATH OVER SPYING ALLEGATIONS,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/houthi-regime-sentences-18-to-death-over-spying-allegations/
37,2025-11-24,Hussain Abdul-Hussain ,['Lebanon'],LEBANON’S ATTEMPTS TO DISARM HEZBOLLAH HAVE BEEN MINIMAL,I24 NEWS,https://www.fdd.org/in_the_news/2025/11/24/lebanons-attempts-to-disarm-hezbollah-have-been-minimal/
38,2025-11-24,Bill Roggio ,"['Russia', 'Ukraine']","UKRAINE PEACE PLANS, CONCESSIONS, AND THE IMPACT ON U.S. ALLIANCES",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/ukraine-peace-plans-concessions-and-the-impact-on-u-s-alliances/
39,2025-11-24,Hussain Abdul-Hussain ,['Arab Politics'],MUSLIM BROTHERHOOD DECLARED A TERRORIST ORGANIZATION,SKY NEWS ARABIA {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/muslim-brotherhood-declared-a-terrorist-organization/
40,2025-11-24,Clifford D. May ,"['Energy', 'Military and Political Power', 'Russia', 'Ukraine']","U.S., UKRAINE WORK ON REFINED PEACE PLAN",FOX BUSINESS,https://www.fdd.org/in_the_news/2025/11/24/u-s-ukraine-work-on-refined-peace-plan/
41,2025-11-24,RADM (Ret.) Mark Montgomery ,['Military and Political Power'],DETERRENCE AT THE EDGE: INNOVATION AND ACQUISITION ON THE EASTERN FLANK DETERRENCE LINE,MISSILE DEFENSE ADVOCACY ALLIANCE,https://www.fdd.org/in_the_news/2025/11/24/deterrence-at-the-edge-innovation-and-acquisition-on-the-eastern-flank-deterrence-line/
42,2025-11-24,Reuel Marc Gerecht ,['Iran'],EX-CIA AGENT SAYS WEAKENED ISLAMIC REPUBLIC WON’T GO DOWN WITHOUT A FIGHT,IRAN INTERNATIONAL,https://www.fdd.org/in_the_news/2025/11/24/ex-cia-agent-says-weakened-islamic-republic-wont-go-down-without-a-fight/
43,2025-11-24,Andrea Stricker ,"['Gulf States', 'Nonproliferation']",WASHINGTON APPEARS TO DROP ‘GOLD STANDARD’ IN SAUDI 123 AGREEMENT,ENERGY INTEL,https://www.energyintel.com/0000019a-a40d-d9d2-a1be-f65ddac30000
44,2025-11-24,Craig Singleton ,"['China', 'Military and Political Power']",COLOMBIA: DC AND BOGOTA HAVE ‘SAME GOAL’,POLITICO,https://www.politico.com/newsletters/national-security-daily/2025/11/24/colombia-says-dc-and-bogota-have-same-goal-00667251
45,2025-11-24,Jonathan Schanzer ,"['Israel', 'Russia', 'Ukraine']","OY, THERE’S TOO MUCH NEWS",THE COMMENTARY MAGAZINE PODCAST,https://www.fdd.org/in_the_news/2025/11/24/oy-theres-too-much-news/
46,2025-11-24,Hussain Abdul-Hussain ,"['Israel', 'Lebanon']",WASHINGTON PRESSURED JERUSALEM TO GIVE BEIRUT A CHANCE TO DISARM HEZBOLLAH,SHAMS TV {ARABIC},https://www.fdd.org/in_the_news/2025/11/24/washington-pressured-jerusalem-to-give-beirut-a-chance-to-disarm-hezbollah/
47,2025-11-24,"Ahmad Sharawi , ","['', 'Israel', 'Russia', 'Syria']",RUSSIA’S AMBITIONS IN SOUTHERN SYRIA AND ISRAEL’S STRATEGIC CALCULUS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/russias-ambitions-in-southern-syria-and-israels-strategic-calculus/
48,2025-11-24,"Janatan Sayeh , ","['', 'Iran', 'Russia', 'Ukraine']",IRAN’S STRATEGIC GAINS FROM THE WAR IN UKRAINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/irans-strategic-gains-from-the-war-in-ukraine/
49,2025-11-24,"David Daoud , ","['', 'Israel', 'Lebanon', 'The Long War']",HEZBOLLAH REGENERATION EFFORTS AND THE FALLOUT FROM A TARGETED BEIRUT STRIKE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/11/24/hezbollah-regeneration-efforts-and-the-fallout-from-a-targeted-beirut-strike/
